Time (ms),Type,Order ID,Size,Price,Direction,,Ask Price 1,Ask Size 1,Bid Price 1,Bid Size 1,,Price (plot),Ask Price 1 (plot),Ask Size 1 (plot),Bid Price 1 (plot),Bid Size 1 (plot)
34202.27905,1,16451737,100,2238900,1,,2239500,20,2238900.00,100,,223.89,223.95,20,223.89,100
34203.87899,1,16610191,100,2242000,-1,,2239500,100,2238900.00,100,,224.2,223.95,100,223.89,100
34204.25605,5,0,100,2239200,1,,2239500,100,2238900.00,100,,223.92,223.95,100,223.89,100
34204.35493,3,16610191,100,2242000,-1,,2239500,20,2238900.00,100,,224.2,223.95,20,223.89,100
34204.35493,1,16657800,100,2241600,-1,,2239500,100,2238900.00,100,,224.16,223.95,100,223.89,100
34204.41447,5,0,80,2239100,1,,2239500,100,2238900.00,100,,223.91,223.95,100,223.89,100
34204.4767,3,16657800,100,2241600,-1,,2239500,20,2238900.00,100,,224.16,223.95,20,223.89,100
34204.4767,1,16667397,100,2241300,-1,,2239500,100,2238900.00,100,,224.13,223.95,100,223.89,100
34204.57276,5,0,40,2239100,1,,2239500,100,2238900.00,100,,223.91,223.95,100,223.89,100
34204.65231,1,16681306,1100,2241000,-1,,2239500,1100,2238900.00,100,,224.1,223.95,1100,223.89,100
34204.76392,1,16692138,100,2241000,-1,,2239500,1200,2238900.00,100,,224.1,223.95,1200,223.89,100
34205.10426,3,16692138,100,2241000,-1,,2239500,1100,2238900.00,100,,224.1,223.95,1100,223.89,100
34205.10426,1,16723342,100,2240800,-1,,2239500,100,2238900.00,100,,224.08,223.95,100,223.89,100
34205.10482,1,16723399,220,2240800,-1,,2239500,320,2238900.00,100,,224.08,223.95,320,223.89,100
34205.10583,3,16723399,220,2240800,-1,,2239500,100,2238900.00,100,,224.08,223.95,100,223.89,100
34205.1071,1,16723613,220,2240800,-1,,2239500,320,2238900.00,100,,224.08,223.95,320,223.89,100
34205.1081,3,16723613,220,2240800,-1,,2239500,100,2238900.00,100,,224.08,223.95,100,223.89,100
34205.1094,1,16723877,220,2240800,-1,,2239500,320,2238900.00,100,,224.08,223.95,320,223.89,100
34205.10975,1,16723916,155,2240800,-1,,2239500,475,2238900.00,100,,224.08,223.95,475,223.89,100
34205.11047,3,16723877,220,2240800,-1,,2239500,255,2238900.00,100,,224.08,223.95,255,223.89,100
34205.1621,1,16728917,100,2240700,-1,,2239500,100,2238900.00,100,,224.07,223.95,100,223.89,100
34205.19778,1,16732821,100,2238900,1,,2239500,100,2238900.00,200,,223.89,223.95,100,223.89,200
34205.3043,5,0,35,2239000,1,,2239500,100,2238900.00,200,,223.9,223.95,100,223.89,200
34205.51395,1,16763343,100,2240500,-1,,2239500,100,2238900.00,200,,224.05,223.95,100,223.89,200
34205.62166,5,0,37,2239000,1,,2239500,100,2238900.00,200,,223.9,223.95,100,223.89,200
34205.62175,5,0,128,2239000,1,,2239500,100,2238900.00,200,,223.9,223.95,100,223.89,200
